priority,score,business_name,industry,location,phone,address,rating,reviews,photos,website,reasons,email
LOW,30,Long General Contracting,contractor,"Sandpoint, ID",(208) 263-0385,"414 Church St Ste 205L, Sandpoint, ID 83864, USA",5,2,10,https://www.longgeneral.com/,Only 2 reviews (low social proof); Good rating (cares about reputation),info@longgeneral.com
HIGH,95,New World Plumbing,plumber,"Sandpoint, ID",(208) 597-3152,"Sandpoint, ID 83864, USA",5,7,1,,Only 1 photos (needs 20+); Only 7 reviews (low social proof),
HIGH,90,Ahz Plumbing Inc,plumber,"Sandpoint, ID",(208) 263-0390,"10093 Baldy Mountain Rd, Sandpoint, ID 83864, USA",5,1,0,,Only 0 photos (needs 20+); Only 1 reviews (low social proof),
HIGH,80,High Mark Plumbing,plumber,"Sandpoint, ID",(208) 217-4753,"206 Mill Rd, Dover, ID 83825, USA",4.4,7,6,https://highmarkplumbingid.com/,Only 6 photos (needs 20+); Only 7 reviews (low social proof),Highmarkplumbing7b@Gmail.Com
HIGH,80,Consolidated Supply Co.,plumber,"Sandpoint, ID",(208) 263-8561,"1802 Industrial Dr, Sandpoint, ID 83864, USA",4.5,22,5,https://www.consolidatedsupply.com/,Only 5 photos (needs 20+); Only 22 reviews (low social proof),OnlineSupport@ConsolidatedSupply.com
HIGH,75,Wray Plumbing,plumber,"Sandpoint, ID",(208) 255-5550,"31656 ID-200 E, Ponderay, ID 83852, USA",5,2,0,http://wrayplumbinginc.com/,Only 0 photos (needs 20+); Only 2 reviews (low social proof),
MEDIUM,50,Northern Gravity Plumbing Co.,plumber,"Sandpoint, ID",(208) 292-8332,"2210 Great Northern Rd, Sandpoint, ID 83864, USA",5,10,10,https://www.facebook.com/profile.php?id=100091948275209,Only 10 reviews (low social proof); Established business (has reviews),
LOW,30,Case Plumbing,plumber,"Sandpoint, ID",(208) 304-3883,"120 S 2nd Ave, Sandpoint, ID 83864, USA",4.8,32,10,https://www.plumbingsandpoint.com/,Established business (has reviews); Good rating (cares about reputation),caseplumbing123@gmail.com
HIGH,95,Sand Creek Salon,salon,"Sandpoint, ID",(208) 255-7897,"214 N S 1st Ave B, Sandpoint, ID 83864, USA",4.8,26,0,,Only 0 photos (needs 20+); Only 26 reviews (low social proof),
HIGH,75,Salon Luxe,salon,"Sandpoint, ID",(208) 255-5893,"111A Main St, Sandpoint, ID 83864, USA",4.6,47,1,,Only 1 photos (needs 20+); No website listed,
HIGH,75,Belleza Design,salon,"Sandpoint, ID",(208) 263-9490,"324 S Florence Ave, Sandpoint, ID 83864, USA",4.9,43,4,,Only 4 photos (needs 20+); No website listed,
MEDIUM,50,Revival Salon,salon,"Sandpoint, ID",(602) 614-9200,"1807 Culvers Dr, Sandpoint, ID 83864, USA",5,23,10,https://www.revivalsalonsandpoint.com/,Only 23 reviews (low social proof); Established business (has reviews),revivalsalon208@gmail.com
LOW,30,Fifth Element Hair Studio,salon,"Sandpoint, ID",(208) 304-4346,"334 N 1st Ave #204A, Sandpoint, ID 83864, USA",5,44,10,http://www.fifthelementhairstudio.com/,Established business (has reviews); Good rating (cares about reputation),info@fifthelementhairstudio.com
